,linear_svm,rbf_svm,best_quantum_svm,best_quantum_model,Amplitude_l2_C1,Amplitude_l1_C1,Amplitude_min-max_C1
Low Complexity,0.76,0.76,0.76,Amplitude_l2_C1,0.76,0.76,0.76
Medium Complexity,0.5797101449275363,0.5942028985507246,0.6231884057971014,Amplitude_l2_C1,0.6231884057971014,0.6231884057971014,0.6231884057971014
High Complexity,0.3508771929824561,0.34210526315789475,0.3333333333333333,Amplitude_l2_C1,0.3333333333333333,0.3333333333333333,0.3333333333333333
