,linear_svm,rbf_svm,best_quantum_svm,best_quantum_model,ZZ1_C10,ZZ2_C01,Pauli1_C10,sample_size
Wszystkie geny,0.5426356589147286,0.5348837209302325,0.5387596899224806,ZZ1_C10,0.5387596899224806,0.4689922480620155,0.5348837209302325,20
Geny często mutowane,0.5426356589147286,0.5542635658914729,0.5426356589147286,ZZ1_C10,0.5426356589147286,0.5426356589147286,0.5193798449612403,4
Geny średnio mutowane,0.46511627906976744,0.4689922480620155,0.46124031007751937,ZZ2_C01,0.43410852713178294,0.46124031007751937,0.3992248062015504,7
Geny rzadko mutowane,0.42248062015503873,0.43410852713178294,0.4263565891472868,ZZ1_C10,0.4263565891472868,0.42248062015503873,0.4263565891472868,8
