,accuracy,mean_kernel,std_kernel
Amplitude_l2_C1,0.5348837209302325,0.06903046962036236,0.24988691070102692
Amplitude_l1_C1,0.5426356589147286,0.0426468753142274,0.1974520246297968
Amplitude_min-max_C1,0.5387596899224806,0.061154688310706196,0.23551378196166742
